RegNo,HerdCode,DrayDate
3.64009E+14,,1394/07/09
3.64009E+14,,1396/11/28
3.64009E+14,,1394/10/18
3.64009E+14,,1394/10/18
3.64009E+14,,1396/01/20
3.64009E+14,,1393/07/04
3.64009E+14,,1394/09/09
3.64009E+14,,1395/11/01
3.64009E+14,,1397/01/25
3.64009E+14,,1392/10/23
3.64009E+14,,1393/11/30
3.64009E+14,,1395/03/26
3.64009E+14,,1393/05/24
3.64009E+14,,1394/12/20
3.64009E+14,,1393/05/24
3.64009E+14,,1394/06/21
3.64009E+14,,1392/08/02
3.64009E+14,,1394/03/01
3.64009E+14,,1393/02/31
3.64009E+14,,1394/04/02
3.64009E+14,,1395/08/08
3.64009E+14,,1397/04/01
3.64099E+14,,1377/11/21
3.64099E+14,,1379/02/12
3.64099E+14,,1381/03/20
3.64099E+14,,1377/12/20
3.64099E+14,,1378/02/10
3.64099E+14,,1378/09/29
3.64099E+14,,1378/12/20
3.64099E+14,,1383/04/05
3.64099E+14,,1384/03/13
3.64099E+14,,1385/09/08
3.64099E+14,,1378/12/01
3.64099E+14,,1383/12/15
3.64099E+14,,1377/11/20
3.64099E+14,,1378/10/15
3.64099E+14,,1377/12/15
3.64099E+14,,1378/05/20
3.64099E+14,,1379/02/29
3.64099E+14,,1379/01/18
3.64099E+14,,1381/03/03
3.64099E+14,,1378/10/15
3.64099E+14,,1378/02/10
3.64099E+14,,1379/01/18
3.64099E+14,,1378/02/01
3.64099E+14,,1379/02/01
3.64099E+14,,1377/11/15
3.64099E+14,,1377/11/15
3.64099E+14,,1378/10/15
3.64099E+14,,1377/12/15
3.64099E+14,,1378/06/15
3.64099E+14,,1384/09/13
3.64099E+14,,1378/01/20
3.64099E+14,,1379/01/01
3.64099E+14,,1383/12/18
3.64099E+14,,1378/06/10
3.64099E+14,,1377/11/21
3.64099E+14,,1379/01/18
3.64099E+14,,1378/05/05
3.64099E+14,,1379/03/20
3.64099E+14,,1378/09/15
3.64099E+14,,1378/07/01
3.64099E+14,,1378/05/20
3.64099E+14,,1378/07/15
3.64099E+14,,1381/08/28
3.64099E+14,,1378/06/10
3.64099E+14,,1383/12/28
3.64099E+14,,1378/09/15
3.64099E+14,,1381/08/09
3.64099E+14,,1383/08/01
3.64099E+14,,1378/09/15
3.64099E+14,,1381/05/18
3.64099E+14,,1381/08/28
3.64099E+14,,1378/09/20
3.64099E+14,,1383/09/13
3.64099E+14,,1384/09/04
3.64099E+14,,1385/11/07
3.64099E+14,,1381/07/13
3.64099E+14,,1378/09/25
3.64099E+14,,1384/10/10
3.64099E+14,,1383/10/11
3.64099E+14,,1381/05/10
3.64099E+14,,1383/01/26
3.64099E+14,,1383/09/13
3.64099E+14,,1381/08/06
3.64099E+14,,1383/12/07
3.64099E+14,,1385/01/05
3.64099E+14,,1383/08/22
3.64099E+14,,1384/08/27
3.64099E+14,,1383/04/05
3.64099E+14,,1384/09/04
3.64099E+14,,1383/04/12
3.64099E+14,,1384/08/01
3.64099E+14,,1383/10/11
3.64099E+14,,1385/02/02
3.64099E+14,,1385/11/07
3.64099E+14,,1384/02/30
3.64099E+14,,1381/03/20
3.64099E+14,,1384/01/12
3.64099E+14,,1385/04/01
3.64099E+14,,1381/05/25
3.64099E+14,,1383/12/21
3.64099E+14,,1384/12/12
3.64099E+14,,1384/01/12
3.64099E+14,,1384/01/13
3.64099E+14,,1386/01/05
3.64099E+14,,1385/10/08
3.64099E+14,,1383/09/06
3.64099E+14,,1383/04/05
3.64099E+14,,1384/03/13
3.64099E+14,,1383/11/16
3.64099E+14,,1384/11/30
3.64099E+14,,1385/11/08
3.64099E+14,,1383/09/15
3.64099E+14,,1383/06/13
3.64099E+14,,1384/05/28
3.64099E+14,,1385/05/25
3.64099E+14,,1384/11/10
3.64099E+14,,1383/10/04
3.64099E+14,,1384/09/04
3.64099E+14,,1383/08/22
3.64099E+14,,1384/11/12
3.64099E+14,,1385/11/25
3.64099E+14,,1383/09/22
3.64099E+14,,1384/02/16
3.64099E+14,,1385/02/02
3.64099E+14,,1386/01/05
3.64099E+14,,1383/11/16
3.64099E+14,,1385/02/09
3.64099E+14,,1383/08/01
3.64099E+14,,1384/03/13
3.64099E+14,,1385/03/12
3.64099E+14,,1384/01/12
3.64099E+14,,1385/03/12
3.64099E+14,,1384/04/31
3.64099E+14,,1385/03/19
3.64099E+14,,1384/01/05
3.64099E+14,,1383/04/05
3.64099E+14,,1384/02/09
3.64099E+14,,1385/03/03
3.64099E+14,,1384/05/07
3.64099E+14,,1385/05/15
3.64099E+14,,1383/06/13
3.64099E+14,,1385/02/02
3.64099E+14,,1383/09/20
3.64099E+14,,1383/01/26
3.64099E+14,,1385/01/08
3.64099E+14,,1385/11/25
3.64099E+14,,1384/09/04
3.64099E+14,,1385/02/09
3.64099E+14,,1383/10/18
3.64099E+14,,1383/09/13
3.64099E+14,,1384/11/01
3.64099E+14,,1385/10/29
3.64099E+14,,1383/09/06
3.64099E+14,,1384/11/12
3.64099E+14,,1383/12/07
3.64099E+14,,1385/06/01
3.64099E+14,,1383/11/16
