RegNo,HerdCode,CalvePeriod,CalveDate,SingleDouble,Sex1,Weight1,CalveCondition1,Sex2,Weight2,CalveCondition2,SpermNo,CalveState,registerdatejalali
3.64009E+14,,1,1401/03/13,1,2,999,999,999,999,999,8.40003E+14,1,1401/04/04
3.64009E+14,,1,1401/04/09,1,1,40,999,999,999,999,8.40003E+14,1,
3.64009E+14,,1,1401/04/29,1,1,40,999,999,999,999,8.40003E+14,1,
3.64009E+14,,2,1402/05/05,1,1,999,1,999,999,999,8.40003E+14,1,1402/06/17
3.64009E+14,,1,1401/04/21,1,1,40,999,999,999,999,8.40003E+14,1,
3.64009E+14,,2,1402/08/26,1,1,999,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,3,1403/08/10,1,1,999,1,999,999,999,8.40003E+14,1,1403/09/04
3.64009E+14,,1,1401/06/17,1,2,999,1,999,999,999,8.40003E+14,1,1401/07/16
3.64009E+14,,2,1402/04/05,1,999,999,999,999,999,999,0,2,1403/06/28
3.64009E+14,,3,1403/03/23,1,1,38,1,999,999,999,8.40003E+14,1,1403/06/28
3.64009E+14,,1,1401/05/23,1,2,999,999,999,999,999,8.40003E+14,2,1401/06/14
3.64009E+14,,2,1402/04/11,1,1,999,999,999,999,999,0,1,1403/06/28
3.64009E+14,,3,1403/05/18,1,2,999,1,999,999,999,8.40003E+14,1,1403/06/28
3.64009E+14,,1,1401/06/08,1,1,999,999,999,999,999,8.40003E+14,1,1401/06/14
3.64009E+14,,2,1402/06/16,1,1,999,1,999,999,999,8.40003E+14,1,1402/07/14
3.64009E+14,,1,1401/08/08,1,2,41,999,999,999,999,8.40003E+14,1,
3.64009E+14,,2,1403/04/24,1,1,38,1,999,999,999,8.40003E+14,1,1403/06/28
3.64009E+14,,1,1401/09/16,1,1,40,999,999,999,999,8.40003E+14,1,
3.64009E+14,,2,1402/09/11,1,2,39,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,1,1401/08/29,1,1,44,999,999,999,999,8.40003E+14,1,
3.64009E+14,,2,1402/09/04,1,1,999,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,1,1401/11/15,1,1,999,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,1,1401/11/22,1,1,999,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,1,1402/01/04,1,1,999,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,1,1401/11/11,1,2,40,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,2,1403/08/23,1,2,38,1,999,999,999,8.40003E+14,1,1403/09/04
3.64009E+14,,1,1402/02/13,1,1,999,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1401/06/09,1,2,999,1,999,999,999,8.40003E+14,1,1401/07/16
3.64009E+14,,2,1402/10/30,1,2,39,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1402/11/04,1,2,38,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1401/11/02,1,1,999,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,1,1402/03/16,1,2,39,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1402/02/04,1,2,39,1,999,999,999,8.40003E+14,1,1402/06/17
3.64009E+14,,1,1402/03/16,1,2,32,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,2,1403/08/17,2,2,999,1,2,999,999,8.40003E+14,1,1403/09/04
3.64009E+14,,1,1402/03/20,1,1,999,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1402/03/23,1,1,35,1,999,999,999,8.40003E+14,1,1402/06/17
3.64009E+14,,2,1403/03/30,1,1,38,1,999,999,999,8.40003E+14,1,1403/06/28
3.64009E+14,,1,1402/05/02,1,2,40,1,999,999,999,8.40003E+14,1,1402/06/17
3.64009E+14,,1,1402/02/30,1,2,38,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,2,1403/02/07,1,1,40,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1402/03/05,1,2,38,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1402/03/04,1,1,999,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1402/04/05,1,1,999,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1402/06/20,1,2,40,1,999,999,999,8.40003E+14,1,1402/07/14
3.64009E+14,,2,1403/08/26,2,2,41,1,2,999,999,8.40003E+14,1,1403/09/04
3.64009E+14,,1,1402/06/11,1,2,40,1,999,999,999,8.40003E+14,1,1402/06/17
3.64009E+14,,1,1402/10/04,1,2,999,1,999,999,999,8.40003E+14,2,1402/10/16
3.64009E+14,,1,1402/06/20,1,1,999,1,999,999,999,8.40003E+14,1,1402/07/14
3.64009E+14,,2,1403/07/07,1,1,39,1,999,999,999,8.40003E+14,1,1403/09/04
3.64009E+14,,1,1402/06/16,1,1,999,1,999,999,999,8.40003E+14,1,1402/07/14
3.64009E+14,,1,1402/06/30,1,1,999,1,999,999,999,8.40003E+14,1,1402/07/14
3.64009E+14,,1,1402/08/16,1,2,39,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,2,1403/08/29,1,1,999,1,999,999,999,8.40003E+14,1,1403/09/04
3.64009E+14,,1,1402/07/22,1,2,38,1,999,999,999,8.40003E+14,1,1402/10/22
3.64009E+14,,1,1402/08/29,1,2,38,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,1,1402/09/03,1,1,999,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,1,1402/09/08,1,2,38,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,1,1402/09/13,1,1,999,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,1,1402/10/05,1,1,999,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,1,1402/10/16,1,1,38,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1402/11/16,1,2,39,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1402/10/21,1,2,39,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1403/01/20,1,1,38,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1402/12/17,1,2,999,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1403/02/16,1,1,999,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1403/01/16,1,2,38,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1403/04/10,2,3,40,1,4,999,999,8.40003E+14,1,1403/06/28
3.64009E+14,,1,1402/12/13,1,1,999,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1403/02/17,1,1,40,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1403/01/31,1,2,38,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1402/11/10,1,999,999,1,999,999,999,8.40003E+14,2,1403/03/15
3.64009E+14,,1,1403/02/14,1,1,38,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1403/07/08,1,2,34,1,999,999,999,8.40003E+14,1,1403/09/04
3.64009E+14,,1,1403/02/27,1,2,38,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1403/06/11,1,2,40,1,999,999,999,0,1,1403/06/28
3.64009E+14,,1,1398/03/12,1,2,999,1,999,999,999,8.4E+14,1,1398/04/09
3.64009E+14,,2,1399/06/28,1,1,999,1,999,999,999,8.40003E+14,1,1399/07/05
3.64009E+14,,3,1400/10/25,1,1,999,999,999,999,999,8.40003E+14,1,1400/11/07
3.64009E+14,,1,1398/02/25,1,1,999,1,999,999,999,8.40003E+14,1,1398/03/04
3.64009E+14,,2,1399/05/19,1,2,999,1,999,999,999,8.40003E+14,1,1399/06/10
3.64009E+14,,3,1400/06/01,1,2,999,999,999,999,999,8.40003E+14,1,1400/06/07
3.64009E+14,,4,1401/06/23,1,1,999,1,999,999,999,8.40003E+14,1,1401/07/16
3.64009E+14,,1,1398/04/21,2,2,999,1,2,999,1,3.64099E+14,1,1398/05/23
3.64009E+14,,2,1400/01/27,1,1,999,999,999,999,999,8.40003E+14,1,1400/01/30
3.64009E+14,,3,1401/05/13,1,1,999,999,999,999,999,8.40003E+14,1,1401/06/14
3.64009E+14,,4,1402/10/21,1,1,999,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1398/03/21,1,1,999,1,999,999,999,8.40003E+14,1,1398/04/09
3.64009E+14,,2,1399/05/25,1,2,999,1,999,999,999,8.40003E+14,1,1399/06/10
3.64009E+14,,3,1400/07/26,1,1,38,1,999,999,999,8.40003E+14,1,1400/08/10
3.64009E+14,,4,1402/01/29,1,2,43,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1398/03/30,1,1,999,1,999,999,999,8.40003E+14,1,1398/04/09
3.64009E+14,,2,1399/03/19,1,2,999,1,999,999,999,8.40003E+14,1,1399/04/10
3.64009E+14,,3,1400/06/14,1,1,999,999,999,999,999,8.40003E+14,1,1400/07/06
3.64009E+14,,4,1401/12/24,1,2,44,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,5,1402/12/14,1,2,999,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1398/03/10,1,1,999,1,999,999,999,8.40003E+14,1,1398/04/09
3.64009E+14,,2,1399/02/30,1,2,999,1,999,999,999,8.40003E+14,1,1399/03/08
3.64009E+14,,1,1398/03/24,1,1,999,1,999,999,999,8.40003E+14,1,1398/04/09
3.64009E+14,,2,1399/03/27,1,1,999,1,999,999,999,8.40003E+14,2,1399/04/10
3.64009E+14,,1,1398/03/31,1,1,999,1,999,999,999,8.40003E+14,1,1398/04/09
3.64009E+14,,2,1399/06/02,1,1,999,1,999,999,999,8.40003E+14,1,1399/07/05
3.64009E+14,,3,1400/07/26,1,1,41,1,999,999,999,8.40003E+14,1,1400/08/10
3.64009E+14,,4,1401/07/12,1,2,43,999,999,999,999,8.40003E+14,1,
3.64009E+14,,1,1398/07/28,999,999,999,999,999,999,999,8.40003E+14,999,1398/10/09
3.64009E+14,,1,1398/04/05,1,2,999,1,999,999,999,8.4E+14,1,1398/05/23
3.64009E+14,,2,1399/03/26,1,2,999,1,999,999,1,8.40003E+14,1,1399/04/10
3.64009E+14,,3,1400/05/24,2,2,999,999,2,999,999,8.40003E+14,1,1400/06/07
3.64009E+14,,4,1401/07/17,1,1,46,999,999,999,999,8.40003E+14,1,
3.64009E+14,,5,1402/12/08,1,2,999,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1398/05/02,1,1,999,1,999,999,999,3.64099E+14,1,1398/05/23
3.64009E+14,,2,1399/06/08,1,2,999,1,999,999,999,8.40003E+14,1,1399/07/05
3.64009E+14,,3,1400/08/15,1,1,999,999,999,999,999,8.40003E+14,1,1400/09/04
3.64009E+14,,4,1401/09/01,2,999,36,999,999,999,999,8.40003E+14,2,
3.64009E+14,,1,1398/04/05,1,2,999,1,999,999,999,8.4E+14,1,1398/05/23
3.64009E+14,,2,1399/05/09,1,2,999,1,999,999,999,8.40003E+14,1,1399/06/10
3.64009E+14,,3,1400/04/29,1,1,999,999,999,999,999,1.24E+14,1,1400/05/04
3.64009E+14,,4,1401/11/03,1,1,999,1,999,999,999,8.40003E+14,1,1402/01/12
3.64009E+14,,1,1398/06/02,999,999,999,999,999,999,999,8.40003E+14,999,1398/10/09
3.64009E+14,,2,1399/07/06,1,1,999,999,999,999,999,8.40003E+14,1,1399/10/07
3.64009E+14,,3,1400/07/26,1,1,999,1,999,999,999,8.40003E+14,1,1400/08/10
3.64009E+14,,4,1401/11/03,1,2,43,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1398/05/24,999,999,999,999,999,999,999,8.40003E+14,999,1398/10/09
3.64009E+14,,2,1399/11/11,1,1,999,999,999,999,999,8.40003E+14,1,1399/12/11
3.64009E+14,,3,1400/10/28,1,1,999,999,999,999,999,8.40003E+14,1,1400/11/07
3.64009E+14,,4,1402/09/20,1,1,999,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,1,1398/12/13,1,2,999,999,999,999,999,3.64099E+14,1,1399/01/19
3.64009E+14,,1,1398/08/21,999,999,999,999,999,999,999,8.40003E+14,999,1398/10/09
3.64009E+14,,2,1399/09/06,1,2,999,999,999,999,999,8.40003E+14,1,1399/10/07
3.64009E+14,,3,1400/12/01,1,1,999,999,999,999,999,8.40003E+14,1,1400/12/04
3.64009E+14,,4,1402/07/19,1,2,39,1,999,999,999,8.40003E+14,1,1402/10/22
3.64009E+14,,1,1398/07/21,999,999,999,999,999,999,999,8.40003E+14,999,1398/10/09
3.64009E+14,,1,1399/01/07,1,2,999,999,999,999,999,8.40003E+14,1,1399/02/06
3.64009E+14,,2,1400/01/16,1,1,999,999,999,999,999,8.40003E+14,1,1400/01/30
3.64009E+14,,3,1401/07/19,1,1,43,999,999,999,999,8.40003E+14,1,
3.64009E+14,,1,1398/08/14,999,999,999,999,999,999,999,8.40003E+14,999,1398/10/09
3.64009E+14,,1,1398/07/23,1,1,999,999,999,999,999,8.40003E+14,1,1398/10/09
3.64009E+14,,2,1399/07/11,1,1,999,999,999,999,999,8.40003E+14,1,1399/10/07
3.64009E+14,,1,1398/10/13,1,1,999,999,999,999,999,8.40003E+14,1,1399/01/19
3.64009E+14,,2,1399/09/26,1,1,999,999,999,999,999,8.40003E+14,1,1399/10/07
3.64009E+14,,1,1399/02/17,1,2,999,1,999,999,999,8.40003E+14,1,1399/03/08
3.64009E+14,,1,1398/08/15,999,999,999,999,999,999,999,8.40003E+14,999,1398/10/09
3.64009E+14,,2,1399/09/01,2,2,999,999,1,999,999,8.40003E+14,1,1399/10/07
3.64009E+14,,3,1400/10/14,1,1,999,999,999,999,999,8.40003E+14,1,1400/11/07
3.64009E+14,,1,1398/10/07,1,2,999,999,999,999,999,8.4E+14,1,1399/01/19
3.64009E+14,,2,1400/07/02,1,1,999,999,999,999,999,8.40003E+14,1,1400/07/06
3.64009E+14,,1,1398/11/20,1,2,999,999,999,999,999,8.40003E+14,1,1399/01/04
3.64009E+14,,2,1399/11/28,1,1,999,999,999,999,999,8.40003E+14,1,1399/12/11
3.64009E+14,,3,1401/03/07,1,1,999,999,999,999,999,8.40003E+14,1,1401/03/21
3.64009E+14,,4,1402/04/21,1,2,40,1,999,999,999,8.40003E+14,1,1402/06/17
3.64009E+14,,5,1403/05/17,1,1,42,1,999,999,999,8.40003E+14,1,1403/06/28
3.64009E+14,,1,1398/09/20,1,2,999,999,999,999,999,8.40003E+14,1,1398/10/30
3.64009E+14,,2,1399/08/28,1,2,999,999,999,999,999,8.40003E+14,2,1399/10/07
3.64009E+14,,3,1401/03/22,1,1,999,999,999,999,999,8.40003E+14,1,1401/04/04
3.64009E+14,,1,1398/09/03,999,999,999,999,999,999,999,8.40003E+14,999,1398/10/09
3.64009E+14,,2,1399/11/22,1,1,999,999,999,999,999,8.40003E+14,1,1399/12/11
3.64009E+14,,1,1398/11/05,1,2,999,999,999,999,999,8.40003E+14,999,1399/01/04
3.64009E+14,,2,1400/08/09,1,1,999,999,999,999,999,8.40003E+14,1,1400/09/04
3.64009E+14,,1,1399/01/29,1,2,999,999,999,999,999,8.40003E+14,1,1399/02/06
3.64009E+14,,2,1400/08/11,1,2,999,999,999,999,999,8.40003E+14,2,1400/09/04
3.64009E+14,,3,1401/12/09,2,1,999,1,2,37,999,8.40003E+14,1,1402/01/12
3.64009E+14,,1,1398/11/06,1,2,999,999,999,999,999,8.4E+14,999,1399/01/04
3.64009E+14,,2,1400/02/30,1,2,39,999,999,999,999,8.40003E+14,1,
3.64009E+14,,3,1401/04/18,1,1,43,999,999,999,999,8.40003E+14,1,
3.64009E+14,,4,1403/02/21,1,1,38,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1398/11/06,1,2,999,999,999,999,999,8.4E+14,999,1399/01/04
3.64009E+14,,2,1400/05/08,1,1,999,999,999,999,999,1.24E+14,1,1400/06/07
3.64009E+14,,1,1398/11/19,1,2,999,999,999,999,999,8.4E+14,999,1399/01/04
3.64009E+14,,2,1401/03/06,1,1,999,999,999,999,999,8.4E+14,1,1401/03/21
3.64009E+14,,3,1402/12/21,1,1,999,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1398/12/07,1,1,999,999,999,999,999,1.24E+14,1,1399/01/09
3.64009E+14,,2,1400/02/20,1,2,999,999,999,999,999,8.40003E+14,1,1400/03/06
3.64009E+14,,3,1401/05/21,1,2,999,999,999,999,999,8.40003E+14,1,1401/06/14
3.64009E+14,,4,1402/12/03,1,2,38,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1398/11/21,1,2,999,999,999,999,999,8.4E+14,2,1399/01/04
3.64009E+14,,2,1400/04/15,1,1,999,999,999,999,999,1.24E+14,1,1400/05/04
3.64009E+14,,3,1401/07/11,1,2,44,999,999,999,999,8.40003E+14,1,
3.64009E+14,,1,1398/12/08,1,2,999,999,999,999,999,1.24E+14,1,1399/01/09
3.64009E+14,,2,1400/10/15,1,1,999,999,999,999,999,8.40003E+14,1,1400/11/07
3.64009E+14,,3,1402/04/20,1,2,43,1,999,999,999,8.40003E+14,1,1402/06/17
3.64009E+14,,1,1398/11/22,1,1,999,999,999,999,999,8.40003E+14,999,1399/01/04
3.64009E+14,,1,1398/11/25,1,2,999,999,999,999,999,2.76001E+14,1,1399/01/04
3.64009E+14,,2,1400/04/23,1,1,999,999,999,999,999,1.24E+14,1,1400/05/04
3.64009E+14,,3,1402/01/06,1,2,999,1,999,999,999,8.40003E+14,1,1402/01/17
3.64009E+14,,4,1403/03/25,1,1,999,1,999,999,999,8.40003E+14,1,1403/09/04
3.64009E+14,,1,1399/01/07,1,1,999,999,999,999,999,8.40003E+14,1,1399/02/06
3.64009E+14,,2,1401/06/26,1,1,999,1,999,999,999,8.40003E+14,1,1401/07/16
3.64009E+14,,3,1402/10/16,1,1,40,1,999,999,999,8.40003E+14,1,1403/03/15
3.64009E+14,,1,1398/12/12,1,1,999,999,999,999,999,2.76001E+14,1,1399/01/09
3.64009E+14,,2,1400/07/14,1,1,42,1,999,999,999,8.40003E+14,1,1400/08/10
3.64009E+14,,3,1401/09/01,1,1,43,999,999,999,999,8.40003E+14,1,
3.64009E+14,,1,1398/11/06,1,2,999,999,999,999,999,8.40003E+14,999,1399/01/04
3.64009E+14,,2,1400/02/18,1,2,999,999,999,999,999,8.40003E+14,1,1400/03/06
3.64009E+14,,3,1401/06/29,1,2,999,1,999,999,999,8.40003E+14,1,1401/07/16
3.64009E+14,,1,1398/11/13,1,1,999,999,999,999,999,8.40003E+14,999,1399/01/04
3.64009E+14,,1,1398/11/18,1,1,999,999,999,999,999,2.76001E+14,999,1399/01/04
3.64009E+14,,2,1399/12/17,1,1,999,999,999,999,999,8.40003E+14,1,1400/01/30
3.64009E+14,,3,1401/03/17,2,1,999,999,999,999,999,8.40003E+14,1,1401/04/04
3.64009E+14,,4,1402/03/24,1,1,999,1,999,999,999,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1398/12/07,1,1,999,999,999,999,999,1.24E+14,1,1399/01/09
3.64009E+14,,2,1400/02/28,1,1,999,999,999,999,999,8.40003E+14,1,1400/03/06
3.64009E+14,,3,1401/03/07,1,1,999,999,999,999,999,8.4E+14,1,1401/03/21
3.64009E+14,,4,1402/10/05,1,1,999,1,999,999,999,8.40003E+14,1,1402/10/16
3.64009E+14,,1,1399/01/07,1,2,999,999,999,999,999,8.40003E+14,1,1399/02/06
3.64009E+14,,2,1400/03/11,1,2,40,999,999,999,999,8.40003E+14,1,
3.64009E+14,,3,1401/06/02,1,1,999,999,999,999,999,0,1,1402/10/22
3.64009E+14,,4,1402/08/03,1,2,38,1,999,999,999,8.40003E+14,1,1402/10/22
3.64009E+14,,1,1398/12/14,1,2,999,999,999,999,999,2.76001E+14,1,1399/01/09
3.64009E+14,,2,1400/01/05,1,2,999,999,999,999,999,8.40003E+14,1,1400/01/30
3.64009E+14,,1,1399/05/08,1,2,999,1,999,999,999,8.40003E+14,1,1399/06/10
3.64009E+14,,2,1400/05/01,1,2,999,999,999,999,999,1.24E+14,1,1400/05/04
3.64009E+14,,3,1401/03/30,2,1,999,999,2,999,999,8.40003E+14,1,1401/04/04
3.64009E+14,,4,1402/04/09,1,2,42,1,999,999,999,8.40003E+14,1,1402/06/17
3.64009E+14,,5,1403/05/10,1,2,38,1,999,999,999,8.40003E+14,1,1403/06/28
3.64009E+14,,1,1399/02/15,1,2,999,1,999,999,999,1.24E+14,1,1399/03/08
3.64009E+14,,2,1401/03/13,1,1,999,999,999,999,999,8.40003E+14,1,1401/04/04
3.64009E+14,,3,1402/03/19,2,1,999,1,2,35,1,8.40003E+14,1,1402/04/15
3.64009E+14,,1,1399/07/02,1,2,999,1,999,999,999,8.40003E+14,1,1399/07/05
3.64009E+14,,2,1400/10/25,1,2,999,999,999,999,999,8.40003E+14,1,1400/11/07
3.64009E+14,,1,1399/03/15,1,1,999,1,999,999,999,8.40003E+14,1,1399/04/10
3.64009E+14,,2,1400/03/25,1,2,39,999,999,999,999,8.40003E+14,1,
3.64009E+14,,3,1401/06/09,1,2,999,999,999,999,999,8.40003E+14,1,1401/06/14
