HerdCode,RegNo,Jalali,Fat,Protein,FreezingPointDepression,Cells
,3.64009E+14,1402/03/12,4.71,2.5,,1332
,3.64009E+14,1401/08/08,5.75,3.78,,35
,3.64009E+14,1399/11/01,3.18,2.72,,
,3.64009E+14,1401/10/07,5.73,3.37,,70
,3.64099E+14,1399/05/02,3.46,3.55,,
,3.64009E+14,1401/08/08,4.88,3.88,,34
,3.64009E+14,1402/05/13,5,2.01,,15
,3.64009E+14,1402/06/15,4.29,3.41,,1918
,3.64009E+14,1403/07/22,4.51,2.87,,675
,3.64009E+14,1400/12/02,3.21,3.22,,367
,3.64009E+14,1401/05/04,2.87,3.12,,110
,3.64009E+14,1401/10/07,3.59,3.46,,67
,3.64009E+14,1403/05/15,3.26,3.07,,12
,3.64009E+14,1402/12/16,3.47,2.99,,339
,3.64099E+14,1399/04/10,3.06,2.68,,31
,3.64009E+14,1401/01/06,4.47,2.52,,721
,3.64009E+14,1402/12/16,4.96,3.46,,73
,3.64009E+14,1402/01/09,5.13,3.24,,11966
,3.64099E+14,1400/07/04,4.96,3.67,18,
,3.64099E+14,1400/11/05,3.34,2.64,,17
,3.64009E+14,1401/03/08,3.76,2.1,,35
,3.64009E+14,1401/10/07,5.24,3.9,,67
,3.64009E+14,1400/05/02,3.34,3.69,,
,3.64099E+14,1398/10/03,4.04,3.03,,91
,3.64009E+14,1401/04/04,2.56,2.98,,190
,3.64099E+14,1400/04/01,3.9,3.9,,121
,3.64099E+14,1402/09/11,5,3.35,,240
,3.64099E+14,1402/10/11,4.09,3.35,,12
,3.64009E+14,1403/06/18,3.96,3.69,,13
,3.64009E+14,1402/03/12,3.89,2.13,,1109
,3.64009E+14,1399/12/01,3.13,4.4,,41
,3.64009E+14,1401/10/07,3.38,3.36,,69
,3.64009E+14,1401/03/08,3.98,1.96,,31
,3.64009E+14,1402/09/11,4.04,3.05,,24
,3.64009E+14,1401/12/10,6.32,2.46,,32
,3.64099E+14,1399/11/01,3.44,2.96,,
,3.64009E+14,1402/09/11,4.74,3.05,,34
,3.64009E+14,1401/08/08,3.68,3.14,,113
,3.64099E+14,1399/01/08,3.14,2.95,,51
,3.64009E+14,1400/07/04,3.16,2.65,17,
,3.64009E+14,1400/10/04,2.94,2.7,,17
,3.64009E+14,1398/11/03,2.76,3.48,,20
,3.64099E+14,1399/08/03,3.52,3.32,,365
,3.64099E+14,1398/10/03,6.21,3.35,,39
,3.64099E+14,1399/01/08,2.72,2.94,,100
,3.64009E+14,1401/04/04,3.69,3.47,,295
,3.64009E+14,1403/06/18,3.22,3.85,,13
,3.64009E+14,1400/06/02,3.02,2.92,,27
,3.64099E+14,1399/10/05,3.13,3.17,,57
,3.64009E+14,1400/07/04,3.93,3.19,16,
,3.64009E+14,1401/07/07,5.64,3.42,,185
,3.64009E+14,1403/05/15,4.11,3.34,,12
,3.64099E+14,1400/01/03,3.44,3.17,,85
,3.64099E+14,1400/12/02,3.71,3.13,,17
,3.64009E+14,1403/07/22,2.84,2.75,,210
,3.64009E+14,1399/09/04,2.82,2.36,,148
,3.64009E+14,1400/10/04,3.58,3.05,,17
,3.64009E+14,1401/12/10,3.92,2.75,,2179
,3.64009E+14,1402/07/11,5,3.98,,596
,3.64009E+14,1399/06/02,3.89,3.56,,43
,3.64099E+14,1402/01/09,4.62,3.74,,882
,3.64009E+14,1400/07/04,5.41,4.09,17,
,3.64099E+14,1400/03/04,2.2,2.61,,262
,3.64099E+14,1399/04/10,3.2,2.65,,22
,3.64009E+14,1399/04/10,3.21,2.67,,20
,3.64009E+14,1402/07/11,4.36,2.62,,13
,3.64099E+14,1401/11/09,3.5,2.81,,1007
,3.64009E+14,1403/04/11,2.98,3.53,,
,3.64009E+14,1401/05/04,2.86,3.18,,29
,3.64009E+14,1403/05/15,3.31,3.29,,12
,3.64009E+14,1402/10/11,5,3.52,,14
,3.64009E+14,1401/12/10,4.05,2.41,,19
,3.64009E+14,1399/06/02,3.91,3.64,,327
,3.64009E+14,1400/08/01,2.97,3.39,,268
,3.64009E+14,1400/01/03,2.93,2.7,,71
,3.64009E+14,1401/07/07,6.99,2.95,,103
,3.64009E+14,1399/03/08,4.1,3.63,,22
,3.64009E+14,1403/07/22,4.28,2.95,,286
,3.64099E+14,1400/04/01,2.64,3.22,,62
,3.64009E+14,1401/06/07,4,3.65,,30
,3.64009E+14,1403/07/22,2.65,3.49,,3568
,3.64009E+14,1399/02/01,4.31,3.54,,249
,3.64009E+14,1401/03/08,3.86,2.58,,31
,3.64099E+14,1399/10/05,2.5,2.51,,164
,3.64009E+14,1401/10/07,3.57,3.3,,69
,3.64009E+14,1398/10/03,2.87,3,,116
,3.64009E+14,1399/03/08,3.41,3.14,,91
,3.64009E+14,1399/07/02,3.41,3,,347
,3.64099E+14,1399/02/01,3.33,3.27,,575
,3.64009E+14,1402/02/12,6.02,2.54,,13
,3.64009E+14,1402/11/15,4.14,3.31,,
,3.64009E+14,1399/04/10,3.39,2.88,,29
,3.64009E+14,1401/07/07,5.25,3.75,,88
,3.64009E+14,1401/03/08,3.95,2.25,,29
,3.64009E+14,1402/11/15,3.28,2.88,,
,3.64009E+14,1400/10/04,2.95,2.71,,17
,3.64009E+14,1402/02/12,5.41,2.39,,15
,3.64099E+14,1400/07/04,3.02,2.85,17,
,3.64009E+14,1399/02/01,2.74,3.17,,22
,3.64009E+14,1401/08/08,4.18,3.65,,332
,3.64009E+14,1400/02/01,3.24,3.23,,
,3.64009E+14,1402/10/11,5,3.05,,12
,3.64099E+14,1399/09/04,2.85,2.36,,157
,3.64009E+14,1401/12/10,3.39,2.42,,85
,3.64009E+14,1401/09/08,4.45,4.14,,35
,3.64009E+14,1400/08/01,4.45,3.91,,1603
,3.64009E+14,1401/10/07,4.73,3.57,,67
,3.64099E+14,1400/05/02,2.63,3.32,,
,3.64099E+14,1401/06/07,3.81,3.25,,194
,3.64099E+14,1399/10/05,3.5,3.23,,291
,3.64009E+14,1401/04/04,3.55,3.36,,147
,3.64009E+14,1402/11/15,3.55,2.69,,
,3.64009E+14,1400/06/02,1.89,3,,25
,3.64009E+14,1401/10/07,3.56,2.85,,66
,3.64009E+14,1400/03/04,3.42,2.82,,122
,3.64009E+14,1402/11/15,4.56,3.56,,
,3.64009E+14,1399/06/02,4.21,3.24,,67
,3.64009E+14,1400/10/04,3.08,2.72,,17
,3.64009E+14,1399/07/02,3.63,3.31,,239
,3.64009E+14,1402/04/11,4.52,2.38,,16
,3.64099E+14,1400/05/02,2.23,3.18,,
,3.64009E+14,1401/09/08,3.27,2.84,,110
,3.64009E+14,1403/06/18,2.74,3.31,,16
,3.64009E+14,1400/07/04,3.79,3.51,22,
,3.64009E+14,1400/12/02,2.64,2.76,,23
,3.64009E+14,1403/05/15,4.63,3.76,,206
,3.64009E+14,1398/09/05,2.17,3.29,,74
,3.64099E+14,1398/11/03,5.66,3.95,,143
,3.64099E+14,1399/09/04,2.79,2.32,,149
,3.64099E+14,1400/06/02,2.38,3.21,,24
,3.64009E+14,1399/08/03,3.5,3.07,,39
,3.64009E+14,1400/10/04,3.57,2.89,,16
,3.64009E+14,1400/12/02,2.65,2.83,,17
,3.64009E+14,1403/08/24,5,3.36,,171
,3.64009E+14,1398/09/05,2.14,2.77,,23
,3.64009E+14,1402/06/15,3.15,3.17,,76
,3.64009E+14,1401/05/04,1.98,3.12,,35
,3.64099E+14,1399/06/02,4.24,3.6,,36
,3.64009E+14,1401/09/08,3.88,3.58,,93
,3.64009E+14,1399/12/01,2.37,2.29,,63
,3.64009E+14,1401/07/07,5.3,3.03,,93
,3.64099E+14,1399/07/02,3.41,2.5,,337
,3.64009E+14,1399/12/01,4.5,3.52,,250
,3.64009E+14,1402/06/15,3.31,2.91,,17
,3.64009E+14,1400/11/05,4.26,3.52,,21
,3.64009E+14,1403/04/11,4.6,4.38,,
,3.64009E+14,1400/01/03,3.11,2.94,,168
,3.64099E+14,1399/07/02,3.45,2.66,,64
,3.64009E+14,1400/08/01,4.11,3.17,,562
,3.64099E+14,1398/11/03,3.01,3.87,,21
,3.64099E+14,1402/04/11,3.85,2.21,,3319
,3.64009E+14,1399/01/08,3.36,2.87,,77
,3.64009E+14,1400/12/02,2.84,2.7,,22
,3.64099E+14,1400/02/01,3.11,3.23,,
,3.64009E+14,1402/10/11,3.15,3.03,,12
,3.64009E+14,1399/10/05,2.98,3.28,,224
,3.64009E+14,1403/04/11,3.99,3.55,,
,3.64009E+14,1401/05/04,3.51,3.52,,196
,3.64099E+14,1399/08/03,5.17,3.96,,458
,3.64009E+14,1398/09/05,3.84,3.33,,26
,3.64009E+14,1401/06/07,2.91,3.4,,78
,3.64009E+14,1401/07/07,4.29,3.59,,34
,3.64099E+14,1399/09/04,2.81,2.37,,154
,3.64009E+14,1398/11/03,5.23,3.24,,21
,3.64009E+14,1401/02/04,3.1,2.34,,44
,3.64009E+14,1400/01/03,2.5,2.35,,76
,3.64009E+14,1402/05/13,4.23,2.37,,59
,3.64009E+14,1402/06/15,2,3.04,,13
,3.64009E+14,1401/09/08,6.11,3.84,,196
,3.64009E+14,1401/12/10,6.9,2.4,,37
,3.64099E+14,1400/05/02,3.15,3.64,,
,3.64099E+14,1399/04/10,3.16,2.56,,101
,3.64009E+14,1401/05/04,3.22,3.24,,35
,3.64009E+14,1402/07/11,5,2.65,,48
,3.64009E+14,1400/08/01,4.48,3.46,,332
,3.64009E+14,1402/10/11,3,2.88,,12
,3.64009E+14,1402/12/16,4.13,3.35,,76
,3.64009E+14,1401/01/06,5.1,2.58,,31
,3.64009E+14,1402/03/12,4.21,2.66,,1072
,3.64099E+14,1400/05/02,2.58,3.02,,
,3.64099E+14,1402/02/12,3.98,2.5,,12
,3.64009E+14,1399/06/02,3.22,3.86,,72
,3.64009E+14,1398/10/03,4.52,3.59,,60
,3.64009E+14,1400/04/01,2.3,2.68,,21
,3.64009E+14,1401/03/08,4.48,2.3,,28
,3.64009E+14,1400/03/04,2.5,2.44,,30
,3.64009E+14,1399/01/08,2.86,3,,99
,3.64009E+14,1398/12/05,2.86,3,,
,3.64009E+14,1403/02/07,4.02,2.87,,49
,3.64009E+14,1401/07/07,6.36,3.2,,35
,3.64009E+14,1399/03/08,2.5,2.5,,36
,3.64009E+14,1400/03/04,2.92,2.53,,18
,3.64009E+14,1403/07/22,4.83,2.55,,87
,3.64009E+14,1401/04/04,3,3.12,,169
,3.64009E+14,1400/06/02,3.47,2.94,,23
,3.64009E+14,1399/07/02,3.14,2.66,,134
,3.64009E+14,1400/01/03,3.81,3,,174
,3.64099E+14,1399/10/05,2.5,2.88,,661
,3.64009E+14,1400/11/05,3.64,2.79,,17
,3.64009E+14,1402/03/12,5,2.5,,1190
,3.64009E+14,1402/09/11,5,2.9,,34
,3.64009E+14,1402/10/11,4.44,3.12,,12
,3.64009E+14,1403/04/11,3.56,3.33,,
,3.64009E+14,1401/05/04,2.58,3.17,,549
,3.64009E+14,1398/12/05,2.97,3.15,,
,3.64099E+14,1403/02/07,2.72,3.06,,225
,3.64009E+14,1402/07/11,4.42,3.38,,15
,3.64099E+14,1401/09/08,4.71,3.43,,30
,3.64099E+14,1400/12/02,2.69,2.73,,18
,3.64009E+14,1399/12/01,3.67,3,,187
,3.64009E+14,1400/11/05,3.73,3.18,,16
,3.64099E+14,1399/07/02,3.28,3.23,,66
,3.64009E+14,1401/05/04,2.46,2.76,,35
,3.64009E+14,1403/06/18,4.89,4.17,,22
,3.64099E+14,1401/12/10,5.81,2.75,,34
,3.64009E+14,1403/05/15,4.94,2.87,,12
,3.64009E+14,1401/06/07,3.47,3.03,,33
,3.64099E+14,1399/04/10,2.91,2.69,,127
,3.64009E+14,1403/08/24,3.48,3.07,,126
,3.64009E+14,1398/10/03,0.83,3.34,,213
,3.64009E+14,1399/11/01,5.12,3.3,,
,3.64009E+14,1398/09/05,1.76,3.07,,14
,3.64099E+14,1399/03/08,3.81,3.18,,21
,3.64099E+14,1399/05/02,3.68,3.57,,
,3.64009E+14,1403/04/11,2.71,2.66,,
,3.64009E+14,1403/02/07,3.81,2.96,,58
,3.64009E+14,1399/01/08,4.1,3.25,,170
,3.64009E+14,1399/11/01,4.28,2.8,,
,3.64009E+14,1400/05/02,3.56,3.54,,
,3.64009E+14,1401/11/09,6.99,3.28,,109
,3.64099E+14,1399/08/03,3.5,3.35,,55
,3.64009E+14,1402/04/11,1.92,2.25,,25
,3.64009E+14,1402/10/11,4.25,2.75,,13
,3.64099E+14,1399/06/02,5.25,3.84,,161
,3.64099E+14,1400/10/04,3.4,2.86,,19
,3.64009E+14,1401/04/04,3.34,3.18,,356
,3.64009E+14,1403/08/24,3.57,2.72,,171
,3.64009E+14,1399/07/02,3.38,2.72,,53
,3.64009E+14,1399/01/08,2.22,3.32,,541
,3.64009E+14,1399/02/01,3.92,3.69,,238
,3.64009E+14,1401/07/07,5.63,3.48,,34
,3.64009E+14,1403/04/11,3.01,3.22,,
,3.64009E+14,1399/06/02,5.42,4.12,,168
,3.64009E+14,1398/09/05,2.92,3.12,,16
,3.64009E+14,1399/08/03,3.5,3.07,,83
,3.64009E+14,1401/03/08,4.88,2.66,,30
,3.64099E+14,1400/10/04,3.85,2.69,,17
,3.64009E+14,1402/04/11,4,2.74,,16
,3.64009E+14,1403/05/15,4.37,3.45,,12
,3.64009E+14,1400/07/04,3.5,3.03,19,
,3.64009E+14,1402/09/11,4.58,3.28,,64
,3.64009E+14,1402/10/11,4.49,3.41,,12
,3.64009E+14,1400/05/02,3.35,3.61,,
,3.64009E+14,1400/02/01,4.34,2.5,,
,3.64009E+14,1402/03/12,3.99,2.73,,2980
,3.64009E+14,1403/07/22,3.53,2.35,,24
,3.64009E+14,1400/08/01,3.37,3.17,,161
,3.64009E+14,1402/02/12,4.38,2.94,,13
,3.64099E+14,1400/10/04,3.66,3.06,,18
,3.64099E+14,1400/04/01,3.56,3.6,,771
,3.64099E+14,1402/04/11,5.08,2.28,,67
,3.64099E+14,1401/01/06,3.91,2.58,,291
,3.64009E+14,1399/10/05,4.38,2.67,,259
,3.64009E+14,1401/01/06,3.01,3.01,,74
,3.64009E+14,1400/06/02,3.04,3.4,,22
,3.64009E+14,1403/02/07,4.24,3.02,,82
,3.64009E+14,1401/09/08,4.18,3.4,,30
,3.64009E+14,1401/07/07,6.01,4.5,,30
,3.64009E+14,1401/04/04,3.14,2.81,,182
,3.64009E+14,1401/11/09,4.48,3.3,,11667
,3.64009E+14,1400/08/01,3.14,3.28,,236
,3.64099E+14,1398/12/05,3.53,3.45,,
,3.64009E+14,1399/02/01,4.66,2.94,,24
,3.64009E+14,1401/09/08,4.11,3.33,,103
,3.64009E+14,1400/11/05,3.76,2.98,,17
,3.64009E+14,1401/06/07,3.88,3.35,,1812
,3.64009E+14,1402/07/11,5,3.09,,12
,3.64009E+14,1401/07/07,5.12,3.12,,34
,3.64009E+14,1401/05/04,2.79,3.03,,34
,3.64009E+14,1402/03/12,4.35,2.22,,957
,3.64009E+14,1400/06/02,3.35,3.13,,20
,3.64099E+14,1401/01/06,3.36,2.56,,93
,3.64009E+14,1401/11/09,5.21,3.24,,163
,3.64009E+14,1402/06/15,2.73,2.86,,650
,3.64009E+14,1402/07/11,5,2.82,,192
,3.64009E+14,1403/06/18,4.19,3.57,,15
,3.64009E+14,1400/12/02,3.34,3.33,,23
,3.64009E+14,1402/07/11,3.94,3.02,,14
,3.64009E+14,1401/11/09,3.62,3.04,,78
,3.64009E+14,1403/07/22,4.61,2.32,,50
,3.64009E+14,1401/12/10,6.9,2.46,,31
,3.64009E+14,1402/07/11,5,3.21,,13
,3.64009E+14,1401/06/07,3.42,3.33,,127
,3.64009E+14,1402/09/11,5,3.26,,161
,3.64009E+14,1398/11/03,3.6,3.84,,29
,3.64009E+14,1400/01/03,2.5,2.09,,153
,3.64009E+14,1402/06/15,2.9,3.21,,166
,3.64009E+14,1398/10/03,3.51,2.85,,418
,3.64009E+14,1399/12/01,3.14,3.23,,165
,3.64009E+14,1402/03/12,3.65,2.13,,552
,3.64099E+14,1399/09/04,2.82,2.36,,135
,3.64009E+14,1401/09/08,4.33,3.92,,34
,3.64009E+14,1398/11/03,2.91,3.09,,24
,3.64009E+14,1399/12/01,3.22,2.5,,226
,3.64009E+14,1399/11/01,3.49,2.62,,
,3.64009E+14,1400/03/04,2.59,2.39,,20
,3.64099E+14,1399/04/10,3.08,2.74,,107
,3.64009E+14,1402/11/15,2.24,3.26,,
,3.64009E+14,1401/07/07,4.72,3.16,,401
,3.64009E+14,1402/07/11,5,3.22,,213
,3.64009E+14,1401/09/08,4.8,3.95,,435
,3.64099E+14,1401/06/07,3.35,3.34,,29
,3.64009E+14,1402/12/16,5,3.18,,15
,3.64009E+14,1399/04/10,2.73,2.8,,26
,3.64009E+14,1401/01/06,2.89,3.18,,26
,3.64099E+14,1403/07/22,4.94,3.11,,82
,3.64099E+14,1402/06/15,5,2.98,,158
,3.64009E+14,1400/06/02,3.12,2.86,,22
,3.64009E+14,1400/03/04,2.86,3.49,,296
,3.64009E+14,1402/01/09,4.25,3.04,,63
,3.64009E+14,1402/04/11,3.25,2.37,,15
,3.64009E+14,1399/08/03,3.09,3.75,,85
,3.64009E+14,1399/06/02,5.33,3.68,,585
,3.64009E+14,1400/12/02,3.73,2.4,,24
,3.64009E+14,1403/05/15,3.36,2.83,,19
,3.64009E+14,1402/03/12,5,2.28,,1034
,3.64009E+14,1403/08/24,5,3.02,,116
,3.64009E+14,1400/08/01,5.29,3.36,,495
,3.64009E+14,1401/12/10,5.63,2.34,,329
,3.64009E+14,1400/11/05,3.06,2.52,,26
,3.64009E+14,1401/11/09,3.21,3.03,,65
,3.64099E+14,1399/04/10,3.16,2.67,,107
,3.64009E+14,1400/04/01,3.5,2.77,,27
,3.64009E+14,1400/07/04,2.94,2.96,22,
,3.64009E+14,1399/12/01,2.9,2.66,,186
,3.64009E+14,1402/05/13,5,2.15,,80
,3.64009E+14,1400/08/01,3.92,2.78,,250
,3.64009E+14,1401/10/07,4.46,3.34,,67
,3.64009E+14,1401/02/04,2.63,2.44,,35
,3.64009E+14,1401/06/07,3.03,3.42,,29
,3.64009E+14,1402/12/16,4.99,3.25,,119
,3.64009E+14,1403/02/07,4.78,3.04,,195
,3.64009E+14,1403/05/15,3.72,3,,11
,3.64099E+14,1402/02/12,1.72,2.36,,316
,3.64099E+14,1399/09/04,2.82,2.37,,139
,3.64009E+14,1402/01/09,5.62,3.25,,1521
,3.64009E+14,1399/02/01,3.03,2.9,,66
,3.64009E+14,1401/11/09,5.62,3.25,,54
,3.64009E+14,1402/02/12,4.57,2.75,,13
,3.64009E+14,1402/04/11,2.55,2.45,,170
,3.64009E+14,1402/02/12,4.35,2.64,,12
,3.64099E+14,1399/04/10,2.87,2.76,,113
,3.64009E+14,1401/11/09,4.57,3.19,,58
,3.64009E+14,1401/12/10,5.69,2.27,,310
,3.64009E+14,1399/06/02,1.13,2.88,,116
,3.64009E+14,1400/05/02,3.31,3.21,,
,3.64099E+14,1399/07/02,3.37,3.75,,185
,3.64009E+14,1403/02/07,3.4,2.93,,134
,3.64009E+14,1400/05/02,2.67,2.88,,
,3.64009E+14,1399/12/01,3.02,2.88,,357
,3.64009E+14,1400/08/01,2.96,2.71,,184
,3.64009E+14,1402/01/09,4.57,3.19,,33
,3.64009E+14,1401/09/08,2.95,3.21,,38
,3.64009E+14,1399/04/10,3.05,2.9,,25
,3.64099E+14,1400/10/04,3.35,2.85,,21
,3.64009E+14,1402/07/11,5,3.16,,13
,3.64009E+14,1402/11/15,2.91,2.83,,
,3.64009E+14,1400/02/01,3.19,3.23,,
,3.64009E+14,1402/09/11,3.34,3.53,,259
,3.64009E+14,1400/04/01,2.42,2.88,,23
,3.64099E+14,1401/10/07,4.08,3.01,,73
,3.64099E+14,1400/07/04,4.73,2.58,18,
,3.64009E+14,1402/10/11,4.52,2.93,,11
,3.64009E+14,1400/04/01,2.37,2.85,,25
,3.64009E+14,1399/10/05,4.59,2.7,,96
,3.64009E+14,1400/03/04,1.61,2.75,,21
,3.64009E+14,1400/05/02,2.35,3.39,,
,3.64009E+14,1399/09/04,3.96,2.75,,158
,3.64009E+14,1399/08/03,2.5,2.67,,51
,3.64009E+14,1400/12/02,3.33,2.47,,23
,3.64009E+14,1402/10/11,3.99,2.88,,12
,3.64009E+14,1399/12/01,3.22,2.5,,195
,3.64009E+14,1402/01/09,4.8,3.27,,4614
,3.64009E+14,1400/10/04,2.4,1.76,,29
,3.64009E+14,1400/05/02,2.31,3.04,,
,3.64009E+14,1400/08/01,2.63,2.77,,657
,3.64009E+14,1398/11/03,2.38,2.88,,21
,3.64009E+14,1403/07/22,5,2.6,,15
,3.64009E+14,1398/09/05,3.84,3.38,,89
,3.64009E+14,1401/10/07,4.58,2.8,,69
,3.64009E+14,1398/11/03,5.49,4.1,,21
,3.64009E+14,1402/05/13,4.15,2.67,,13
,3.64099E+14,1400/05/02,2.63,2.63,,
,3.64099E+14,1400/03/04,3.15,3.26,,27
,3.64099E+14,1399/09/04,3.83,2.77,,164
,3.64009E+14,1400/03/04,4.37,2.78,,104
,3.64099E+14,1400/07/04,3.07,3.16,16,
,3.64009E+14,1401/01/06,5.13,2.37,,26
,3.64009E+14,1402/05/13,4.8,2.81,,13
,3.64009E+14,1402/03/12,5,2.38,,1059
,3.64009E+14,1400/09/01,4.93,3.11,,17
,3.64009E+14,1402/04/11,3.64,2.63,,13
,3.64009E+14,1402/03/12,4.9,2.34,,887
,3.64009E+14,1401/06/07,3.74,3.46,,56
,3.64009E+14,1401/12/10,4.36,2.49,,40
,3.64009E+14,1401/07/07,4.96,3.05,,410
,3.64009E+14,1400/08/01,3.92,3.13,,708
,3.64009E+14,1402/01/09,4.61,3.36,,2551
,3.64009E+14,1403/05/15,4.58,2.9,,20
,3.64009E+14,1400/02/01,3.71,3.23,,
,3.64009E+14,1401/01/06,4.97,2.82,,76
,3.64009E+14,1403/06/18,2.77,2.91,,14
,3.64009E+14,1398/09/05,3.02,3.28,,25
,3.64009E+14,1403/08/24,4.79,3.17,,190
,3.64009E+14,1399/01/08,2.97,3.15,,26
,3.64009E+14,1400/03/04,3.07,2.76,,81
,3.64099E+14,1399/05/02,3.57,2.98,,
,3.64009E+14,1402/03/12,3.54,2.53,,909
,3.64009E+14,1403/04/11,3.3,3.87,,
,3.64009E+14,1398/11/03,2.37,2.74,,305
,3.64009E+14,1399/02/01,3.43,3.61,,27
,3.64009E+14,1400/06/02,2.55,2.88,,23
,3.64009E+14,1402/09/11,2,2.79,,44
,3.64009E+14,1400/07/04,3.4,3.07,19,
,3.64009E+14,1401/09/08,3.85,3.97,,35
,3.64009E+14,1403/08/24,4.52,3.67,,103
,3.64009E+14,1403/06/18,4.33,3.59,,14
,3.64009E+14,1399/04/10,2.72,2.82,,22
,3.64009E+14,1400/04/01,1.71,3.01,,19
,3.64009E+14,1401/07/07,4.64,4,,35
,3.64009E+14,1401/08/08,6.67,2.92,,35
,3.64009E+14,1401/04/04,3.25,3.54,,108
,3.64009E+14,1400/01/03,3.83,2.93,,513
,3.64009E+14,1402/03/12,5,2.82,,851
,3.64009E+14,1401/10/07,4.61,2.79,,78
,3.64099E+14,1402/07/11,4.77,3.11,,13
,3.64099E+14,1399/01/08,2.42,2.99,,22
,3.64009E+14,1401/04/04,4.02,3.31,,32
,3.64009E+14,1401/07/07,5.12,3.23,,38
,3.64009E+14,1398/12/05,2.4,2.95,,
,3.64009E+14,1399/02/01,3.85,3.22,,25
,3.64009E+14,1402/06/15,3.58,3.13,,16
,3.64009E+14,1399/12/01,3.38,3.77,,173
,3.64009E+14,1400/04/01,2.69,2.97,,57
,3.64009E+14,1402/10/11,3.95,3.33,,12
,3.64009E+14,1403/05/15,4.89,3.13,,14
,3.64009E+14,1403/06/18,3.23,3.58,,12
,3.64009E+14,1400/04/01,1.74,2.95,,85
,3.64009E+14,1402/03/12,4.46,2.67,,930
,3.64099E+14,1399/04/10,2.92,2.73,,251
,3.64099E+14,1399/06/02,2.43,2.86,,69
,3.64009E+14,1398/10/03,3.2,2.58,,100
,3.64009E+14,1403/02/07,3.85,3.44,,560
,3.64009E+14,1403/05/15,2.67,2.53,,11
,3.64009E+14,1400/09/01,3.53,2.16,,18
,3.64099E+14,1401/12/10,6.25,2.7,,30
,3.64009E+14,1401/08/08,6.99,3.05,,34
,3.64009E+14,1402/09/11,3.56,3.57,,23
,3.64009E+14,1401/11/09,4.85,2.72,,142
,3.64009E+14,1402/01/09,4.85,2.72,,73
,3.64009E+14,1401/03/08,3.03,2.28,,29
,3.64009E+14,1401/12/10,5.76,2.22,,563
,3.64099E+14,1399/01/08,2.42,3.25,,236
,3.64099E+14,1398/10/03,2.92,2.7,,86
,3.64009E+14,1400/02/01,2.75,3.23,,
,3.64009E+14,1403/05/15,3.68,3.4,,14
,3.64009E+14,1403/08/24,4.11,2.94,,131
,3.64099E+14,1400/07/04,1.45,2.75,17,
,3.64099E+14,1399/06/02,2.72,3.56,,149
,3.64009E+14,1401/02/04,3.79,2.99,,34
,3.64099E+14,1400/08/01,3.34,3.4,,240
,3.64009E+14,1401/04/04,2.96,3.15,,93
,3.64009E+14,1400/12/02,4.22,3.44,,20
,3.64099E+14,1399/09/04,2.86,2.36,,148
,3.64009E+14,1399/03/08,3.26,2.61,,445
,3.64009E+14,1401/12/10,6.74,2.62,,88
,3.64009E+14,1402/12/16,5,3.42,,62
,3.64009E+14,1401/03/08,2.71,2.66,,42
,3.64009E+14,1402/03/12,3.62,2.88,,1305
,3.64099E+14,1399/11/01,5.01,2.59,,
,3.64099E+14,1399/10/05,3.41,3.31,,68
,3.64009E+14,1402/02/12,2.16,2.31,,15
,3.64009E+14,1403/05/15,3.52,3.95,,11
,3.64009E+14,1400/09/01,3.3,2.4,,16
,3.64009E+14,1401/03/08,3.83,2.77,,31
,3.64009E+14,1400/07/04,5.35,3.3,22,
,3.64099E+14,1399/02/01,4.46,3.7,,20
,3.64099E+14,1399/09/04,2.85,2.37,,141
,3.64009E+14,1401/02/04,4.01,2.4,,40
,3.64009E+14,1402/05/13,3.82,2.74,,13
,3.64009E+14,1400/10/04,3.46,3.08,,19
,3.64099E+14,1400/05/02,2.27,2.95,,
,3.64099E+14,1400/11/05,2.53,2.66,,17
,3.64009E+14,1403/04/11,4.22,3.34,,
,3.64009E+14,1402/11/15,2.37,3.82,,
,3.64009E+14,1403/08/24,3.31,3.67,,163
,3.64009E+14,1400/08/01,3.73,3.15,,158
,3.64009E+14,1401/08/08,4.85,3.02,,196
,3.64009E+14,1401/04/04,2.8,3.11,,1694
,3.64009E+14,1402/07/11,5,2.81,,188
,3.64009E+14,1400/04/01,2.84,2.97,,38
,3.64099E+14,1398/12/05,2.87,3.27,,
,3.64099E+14,1401/03/08,3.6,2.39,,38
,3.64009E+14,1400/05/02,2.74,3.11,,
,3.64009E+14,1400/04/01,3.81,2.81,,38
,3.64099E+14,1398/12/05,2.22,3.32,,
,3.64009E+14,1400/02/01,3.48,3.23,,
,3.64099E+14,1403/05/15,4.26,3.06,,135
,3.64009E+14,1402/06/15,4.42,3.29,,15
,3.64009E+14,1401/02/04,3.87,2.2,,350
,3.64099E+14,1398/09/05,4.19,3.69,,295
,3.64099E+14,1401/08/08,4.17,2.86,,405
,3.64099E+14,1399/09/04,2.85,2.35,,137
,3.64009E+14,1401/08/08,4.27,3.7,,85
,3.64009E+14,1400/05/02,3.78,3.1,,
,3.64051E+14,1403/06/18,4.75,3.77,,15
,3.64009E+14,1403/04/11,2.66,3.22,,
,3.64009E+14,1402/10/11,4.77,3.46,,12
,3.64099E+14,1402/06/15,3.16,2.64,,16
,3.64009E+14,1401/09/08,4.74,3.76,,151
,3.64099E+14,1399/10/05,2.5,2.94,,436
