HerdCode,RegNo,Jalali,Fat,Protein,FreezingPointDepression,Cells
,3.64009E+14,1401/05/04,5.08,3.76,,183
,3.64009E+14,1400/10/04,3.88,3.17,,18
,3.64099E+14,1399/01/08,3.18,3.03,,100
,3.64009E+14,1401/10/07,4.34,3.16,,67
,3.64009E+14,1400/01/03,3.68,2.82,,392
,3.64009E+14,1402/04/11,5.45,2.19,,184
,3.64009E+14,1400/09/01,4.71,3.18,,17
,3.64009E+14,1401/07/07,6.99,4.01,,411
,3.64009E+14,1401/11/09,4.05,3,,57
,3.64009E+14,1402/02/12,3.55,2.63,,19
,3.64009E+14,1402/09/11,4.47,3.1,,33
,3.64099E+14,1399/03/08,3.84,3.17,,312
,3.64099E+14,1399/06/02,3.28,2.91,,34
,3.64009E+14,1401/12/10,4.21,2.69,,26
,3.64009E+14,1403/06/18,5,3.92,,20
,3.64099E+14,1403/07/22,5,3.26,,1904
,3.64099E+14,1401/01/06,2.8,2.49,,242
,3.64009E+14,1400/01/03,3.99,2.75,,269
,3.64009E+14,1402/02/12,5.01,2.57,,13
,3.64009E+14,1401/05/04,3.95,3.39,,94
,3.64009E+14,1401/11/09,4.41,3.34,,49
,3.64009E+14,1402/05/13,3.51,2.38,,13
,3.64009E+14,1401/02/04,2.57,2.32,,64
,3.64009E+14,1400/07/04,2.57,2.22,17,
,3.64009E+14,1402/12/16,4.78,3.01,,39
,3.64009E+14,1401/01/06,4.62,3.09,,191
,3.64009E+14,1399/11/01,4.11,2.91,,
,3.64009E+14,1399/09/04,2.78,2.36,,153
,3.64009E+14,1403/02/07,5,3.21,,186
,3.64009E+14,1402/07/11,4.27,3.02,,152
,3.64009E+14,1401/01/06,2.72,2.35,,99
,3.64099E+14,1398/11/03,5.08,3.44,,18
,3.64099E+14,1402/01/09,3.29,3.03,,85
,3.64009E+14,1399/10/05,3.41,3.6,,1466
,3.64009E+14,1400/10/04,4.08,3.06,,16
,3.64009E+14,1401/03/08,4.3,2.34,,34
,3.64009E+14,1403/06/18,3.57,3.72,,17
,3.64009E+14,1403/08/24,3.65,3.3,,248
,3.64099E+14,1399/01/08,3.75,3.18,,38
,3.64099E+14,1401/05/04,3.43,3.43,,186
,3.64099E+14,1402/05/13,3.98,2.83,,13
,3.64099E+14,1399/02/01,3.89,2.89,,348
,3.64009E+14,1401/03/08,3.22,2.79,,31
,3.64009E+14,1401/08/08,6.84,4.29,,98
,3.64009E+14,1403/05/15,3.62,3.18,,13
,3.64009E+14,1402/01/09,3.6,3.16,,894
,3.64009E+14,1401/05/04,3.37,3.46,,30
,3.64009E+14,1403/06/18,4.58,4.91,,13
,3.64009E+14,1399/03/08,3.67,2.86,,290
,3.64099E+14,1400/05/02,3.23,3.66,,
,3.64009E+14,1402/05/13,3.2,2.4,,21
,3.64009E+14,1399/01/08,3.9,3.29,,30
,3.64009E+14,1400/02/01,3.84,2.5,,
,3.64009E+14,1400/09/01,3.01,2.35,,20
,3.64009E+14,1401/04/04,1.35,1.26,,1053
,3.64099E+14,1399/07/02,3.1,3,,689
,3.64099E+14,1399/08/03,1.92,3.6,,43
,3.64009E+14,1401/06/07,4.19,3.58,,115
,3.64009E+14,1402/03/12,3.04,2.56,,10
,3.64009E+14,1402/06/15,2,2.59,,86
,3.64009E+14,1400/09/01,4.31,2.47,,17
,3.64009E+14,1401/04/04,3.11,2.98,,1821
,3.64099E+14,1398/11/03,3.77,3.2,,153
,3.64009E+14,1401/08/08,4.46,3.22,,450
,3.64009E+14,1401/04/04,3.69,3.42,,64
,3.64009E+14,1400/09/01,2.98,2.13,,20
,3.64009E+14,1400/12/02,3.47,3.47,,29
,3.64009E+14,1402/11/15,3.2,2.87,,
,3.64009E+14,1401/06/07,3.16,3.65,,88
,3.64009E+14,1401/09/08,2.63,3.33,,105
,3.64099E+14,1400/09/01,2.76,2.65,,18
,3.64009E+14,1400/02/01,3.37,3.15,,
,3.64009E+14,1401/12/10,5.66,2.94,,135
,3.64009E+14,1402/12/16,5,2.74,,35
