RegNo,HerdCode,FertDate,SpermNo
3.64009E+14,,1400/10/06,8.40003E+14
3.64009E+14,,1399/09/08,8.40003E+14
3.64009E+14,,1399/10/08,8.40003E+14
3.64009E+14,,1399/11/08,8.40003E+14
3.64009E+14,,1399/12/08,8.40003E+14
3.64009E+14,,1400/01/08,8.40003E+14
3.64009E+14,,1401/04/12,8.40003E+14
3.64009E+14,,1401/05/12,8.40003E+14
3.64009E+14,,1401/06/12,8.40003E+14
3.64009E+14,,1401/07/12,8.40003E+14
3.64009E+14,,1398/03/04,1.24E+14
3.64009E+14,,1399/03/28,8.40003E+14
3.64009E+14,,1399/02/13,8.40003E+14
3.64009E+14,,1399/07/15,1.24E+14
3.64009E+14,,1400/05/29,8.40003E+14
3.64009E+14,,1402/02/17,8.40003E+14
3.64009E+14,,1402/03/17,8.40003E+14
3.64009E+14,,1402/04/17,8.40003E+14
3.64009E+14,,1402/05/17,8.40003E+14
3.64009E+14,,1402/06/17,8.40003E+14
3.64009E+14,,1398/02/20,2.76001E+14
3.64009E+14,,1399/05/20,8.40003E+14
3.64009E+14,,1399/06/20,8.40003E+14
3.64009E+14,,1399/07/20,8.40003E+14
3.64009E+14,,1399/08/20,8.40003E+14
3.64009E+14,,1399/09/20,8.40003E+14
3.64009E+14,,1399/10/20,8.40003E+14
3.64009E+14,,1399/11/20,8.40003E+14
3.64009E+14,,1399/12/20,8.40003E+14
3.64009E+14,,1400/01/20,8.40003E+14
3.64009E+14,,1400/02/20,8.40003E+14
3.64009E+14,,1400/03/20,8.40003E+14
3.64009E+14,,1400/04/20,8.40003E+14
3.64009E+14,,1400/05/20,8.40003E+14
3.64009E+14,,1400/06/20,8.40003E+14
3.64009E+14,,1400/07/20,8.40003E+14
3.64009E+14,,1400/08/20,8.40003E+14
3.64009E+14,,1400/09/20,8.40003E+14
3.64009E+14,,1401/10/12,8.40003E+14
3.64009E+14,,1401/11/12,8.40003E+14
3.64009E+14,,1401/12/12,8.40003E+14
3.64009E+14,,1402/01/12,8.40003E+14
3.64009E+14,,1399/02/13,8.40003E+14
3.64009E+14,,1399/07/09,8.40003E+14
3.64009E+14,,1399/08/09,8.40003E+14
3.64009E+14,,1399/09/09,8.40003E+14
3.64009E+14,,1399/10/09,8.40003E+14
3.64009E+14,,1400/09/04,0
3.64009E+14,,1400/10/04,0
3.64009E+14,,1400/11/04,0
3.64009E+14,,1400/12/04,8.40003E+14
3.64009E+14,,1399/03/19,8.40003E+14
3.64009E+14,,1399/05/16,8.40003E+14
3.64009E+14,,1400/09/23,8.40003E+14
3.64009E+14,,1398/02/04,8.40003E+14
3.64009E+14,,1399/02/23,8.40003E+14
3.64009E+14,,1399/06/15,8.40003E+14
3.64009E+14,,1399/03/11,8.40003E+14
3.64009E+14,,1399/03/19,8.40003E+14
3.64009E+14,,1400/06/13,8.40003E+14
3.64009E+14,,1401/03/16,8.40003E+14
3.64009E+14,,1401/04/16,8.40003E+14
3.64009E+14,,1401/05/16,8.40003E+14
3.64009E+14,,1401/06/16,8.40003E+14
3.64009E+14,,1399/02/21,8.40003E+14
3.64009E+14,,1399/05/22,8.40003E+14
3.64009E+14,,1400/05/30,8.4E+14
3.64009E+14,,1401/10/01,8.40003E+14
3.64009E+14,,1401/11/01,8.40003E+14
3.64009E+14,,1401/12/01,8.40003E+14
3.64009E+14,,1402/01/01,8.40003E+14
3.64009E+14,,1399/03/30,8.40003E+14
3.64009E+14,,1399/06/15,8.40003E+14
3.64009E+14,,1400/05/26,8.40003E+14
3.64009E+14,,1400/06/26,8.40003E+14
3.64009E+14,,1400/07/26,8.40003E+14
3.64009E+14,,1400/08/26,8.40003E+14
3.64009E+14,,1401/07/28,8.40003E+14
3.64009E+14,,1401/08/28,8.40003E+14
3.64009E+14,,1401/09/28,8.40003E+14
3.64009E+14,,1401/10/28,8.40003E+14
3.64009E+14,,1398/04/06,8.40003E+14
3.64009E+14,,1399/01/28,8.40003E+14
3.64009E+14,,1399/02/28,8.40003E+14
3.64009E+14,,1399/04/01,8.40003E+14
3.64009E+14,,1398/03/07,2.76001E+14
3.64009E+14,,1399/07/24,1.24E+14
3.64009E+14,,1400/07/01,8.40003E+14
3.64009E+14,,1401/04/01,8.40003E+14
3.64009E+14,,1401/05/01,8.40003E+14
3.64009E+14,,1401/06/01,8.40003E+14
3.64009E+14,,1401/07/01,8.40003E+14
3.64009E+14,,1402/05/03,8.40003E+14
3.64009E+14,,1402/06/03,8.40003E+14
3.64009E+14,,1402/07/03,8.40003E+14
3.64009E+14,,1402/08/03,8.40003E+14
3.64009E+14,,1398/05/08,1.24E+14
3.64009E+14,,1399/11/05,8.40003E+14
3.64009E+14,,1399/12/05,8.40003E+14
3.64009E+14,,1400/01/05,8.40003E+14
3.64009E+14,,1400/02/05,8.40003E+14
3.64009E+14,,1400/03/05,8.40003E+14
3.64009E+14,,1400/04/05,8.40003E+14
3.64009E+14,,1400/05/05,8.40003E+14
3.64009E+14,,1400/06/05,8.40003E+14
3.64009E+14,,1401/03/11,8.40003E+14
3.64009E+14,,1401/04/11,8.40003E+14
3.64009E+14,,1401/05/11,8.40003E+14
3.64009E+14,,1401/06/11,8.40003E+14
3.64009E+14,,1400/01/22,8.40003E+14
3.64009E+14,,1398/06/07,8.40003E+14
3.64009E+14,,1399/06/17,8.40003E+14
3.64009E+14,,1400/09/02,8.40003E+14
3.64009E+14,,1402/02/15,8.40003E+14
3.64009E+14,,1402/03/15,8.40003E+14
3.64009E+14,,1402/04/15,8.40003E+14
3.64009E+14,,1402/05/15,8.40003E+14
